,0
0,credits in pennies
1,225
2,225
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,225
12,0
13,225
14,0
15,0
16,1800
17,0
18,1575
19,0
20,0
21,0
22,0
23,225
24,0
25,675
26,225
27,1350
28,0
29,0
30,450
31,0
32,0
33,1350
34,0
35,900
36,450
37,0
38,225
39,225
40,0
41,0
42,0
43,225
44,225
45,0
46,0
47,0
48,900
49,0
50,450
51,0
52,225
53,0
54,0
55,0
56,0
57,0
58,0
59,450
60,0
61,225
62,0
63,225
64,0
65,0
66,0
67,0
68,225
69,225
70,450
71,1125
72,225
73,0
74,0
75,450
76,0
77,0
78,0
79,450
80,0
81,0
82,0
83,0
84,450
85,0
86,0
87,0
88,450
89,0
90,675
91,450
92,0
93,450
94,225
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,225
104,675
105,0
106,1350
107,2475
108,0
109,0
110,0
111,0
112,0
113,1350
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,225
125,0
126,0
127,0
128,225
129,225
130,0
131,225
132,0
133,1800
134,900
135,225
136,0
137,450
138,0
139,0
140,1800
141,450
142,450
143,225
144,0
145,0
146,225
147,0
148,0
149,0
150,0
151,675
152,1350
153,0
154,0
155,0
156,675
157,225
158,0
159,450
160,225
161,0
162,0
163,450
164,0
165,225
166,0
167,225
168,0
169,0
170,900
171,0
172,450
173,450
174,0
175,225
176,0
177,0
178,0
179,0
180,0
181,450
182,0
183,0
184,1800
185,225
186,0
187,225
188,450
189,450
190,0
191,675
192,0
193,0
194,0
195,0
196,225
197,0
198,0
199,450
200,450
201,0
202,0
203,450
204,0
205,225
206,225
207,675
208,675
209,1350
210,0
211,0
212,0
213,0
214,225
215,0
216,0
217,225
218,0
219,0
220,225
221,450
222,450
223,450
224,0
225,225
226,0
227,0
228,225
229,0
230,0
231,0
232,675
233,0
234,225
235,0
236,0
237,450
238,1350
239,450
240,0
241,450
242,0
243,0
244,0
245,1800
246,0
247,0
248,225
249,0
250,0
251,0
252,225
253,225
254,225
255,0
256,675
257,0
258,225
259,225
260,0
261,0
262,450
263,0
264,0
265,1350
266,0
267,0
268,450
269,0
270,0
271,0
272,0
273,225
274,0
275,0
276,0
277,0
278,0
279,675
280,0
281,0
282,0
283,0
284,225
285,450
286,0
287,0
288,0
289,450
290,0
291,0
292,450
293,225
294,900
295,450
296,0
297,0
298,225
299,450
300,0
301,0
302,225
303,450
304,225
305,0
306,0
307,0
308,0
309,0
310,1800
311,450
312,0
313,0
314,225
315,450
316,450
317,1350
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,450
330,2025
331,450
332,0
333,0
334,0
335,0
336,225
337,1800
338,0
339,0
340,450
341,0
342,0
343,450
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,225
352,225
353,225
354,675
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,675
365,1575
366,0
367,900
368,0
369,0
370,450
371,450
372,450
373,0
374,900
375,0
376,0
377,1125
378,0
379,225
380,0
381,225
382,450
383,0
384,0
385,0
386,0
387,450
388,0
389,0
390,0
391,900
392,675
393,0
394,0
395,450
396,450
397,0
398,225
399,0
400,0
401,0
402,0
403,0
404,450
405,0
406,0
407,0
408,225
409,0
410,0
411,675
412,225
413,0
414,450
415,675
416,0
417,0
418,0
419,0
420,675
421,0
422,0
423,1350
424,0
425,0
426,0
427,0
428,0
429,0
430,225
431,0
432,0
433,225
434,0
435,0
436,225
437,450
438,225
439,450
440,0
441,0
442,0
443,0
444,450
445,0
446,0
447,0
448,0
449,0
450,225
451,0
452,0
453,0
454,0
455,0
456,225
457,0
458,0
459,450
460,0
461,0
462,450
463,225
464,0
465,0
466,450
467,675
468,0
469,225
470,0
471,0
472,0
473,0
474,450
475,0
476,0
477,0
478,0
479,0
480,450
481,0
482,225
483,675
484,1800
485,450
486,0
487,450
488,0
489,0
490,0
491,450
492,0
493,0
494,225
495,0
496,225
497,0
498,0
499,0
500,225
